Seasons,Rival; Cadmium;Harley Bird,Single,4 min 8 sec
Everything Goes On,Porter Robinson; Leaue of legends,Single,3 min 22 sec
You Broke Me First,Tate McRae,Single,2min 49 sec
Line By Line,JP Saxe;Maren Morris,Single,3min 28 sec
First Time,Kygo;Ellie Goulding,Single,3min 13 sec
Slow Motion,Charlotte Lawrence,Single,3min 3 sec
Shivers,Ed Sheeran,  =,3min 28 sec
Higher,Shawn Mendes,Wonder,2min 40 sec
Dive Into You,Loving Caliber,Kill The Lights,3min 24 sec
Kaleidoscope,Barrett Marshall;Moon Water,Single,4min 30 sec
Electric Love,BORNS,Dopamine,3min 38sec
Slow Grenade,"Ellie Goulding,Lauv",Brightest Blue,3min 37 sec
Running Up That Hill,Kate Nush,Hounds Of Love,4min 59 sec
CWJBHN,"Jake Scott,Josie Dunne",TWENTY TWENTY,3min 13 sec
I Don’t Know Why,NOTD;Astrid S,Single,3min 28 sec
Run Back to You,Hoang;Alisa,Single,3min 15sec
History,Beren Olivia;Lostboycrow,Single,3min 23sec
Funny,Zedd;Jasmine Thompson,Single,3min 41sec
Satellites,GAMPER & DADONI; Joe Jury,Single,2min 56 sec
Without Me,Halsey,Manic,3min 22 sec
Maps,Maroon5,V,3min 10 sec
Lavender haze,Taylor Swift,Midnights,3min 22 sec
Cruize Control,Jenna Raine,Big Dumb Heart chapter 2,3min 22 sec
Oh My My!,Walk off the earth,Stand By You,2min 44 sec
Afterglow,Sam Fisher,Single,3min 12 sec
Chemical,Post Malone,Single,3min 4 sec
Choose Your Fighter,Ava Max,Barbie,2min 18 sec
Future Nostalgia,Dua Lipa,The Moonlight,3min 5 sec
Hurts So Good,Astrid S,Single,3min 29 sec
1950,King princess,Single,3 min 45 sec
greedy,Tate McRae,Single,2min 12 sec
Nonsense,Sabrina carpenter,emails I can't send,2min 44 sec
FYTY,Dylam Matthew,Single,2min 52sec
golden hour,JYKE,this is what ____ feels like,3min 29 sec
Sunroof,Nicky Youre;dazy,Good Times Go,2min 43sec
Coast,Hailee Steinfield;Anderson.Paak,Single,2min 47 sec
bad idea right?,Olivia Rodrigo,GUTS,3min 5 sec
OHMAMI,Chase Atlantic,Single,3min 47sec
Moonlight,Chase Atlantic,Paradise EP,4min 12sec
Eyes On You,Nicky Youre,Good Times Go,2min 57sec
Eyes Off You,PRETTYMUCH,Phases EP,3min 24 sec
Sneakers,Knox,Single,3min 4 sec
Someone else's problem,Ruel,Single,2min 40 sec
The bones,Maren Morris,GIRL,3min 17sec
Fractures,ILLENIUM;Nevve,Single,4min 5 sec
So Good,Halsey,Single,2min 56sec
Worst thing,NOTD;kenzie,NOTED…EP,2min 38sec
Way back home,SHAUN;Conor Maynard;Sam Feldt,Single,3min 12 sec
Take me away,New Medicine,Single,2min 18 sec
Animals,Maroon5,V,3min 51sec
